res_id,res_respuesta,usr_correo,mus_id,preguntas_preg_id,encuesta_enc_cve
<<<<<<< HEAD
1,5,modesto43@example.org,759,1,1
2,0,modesto43@example.org,759,2,1
3,1,modesto43@example.org,759,3,1
4,1,modesto43@example.org,759,4,1
5,3,modesto43@example.org,759,5,1
6,3,teresa91@example.org,759,1,1
7,0,teresa91@example.org,759,2,1
8,0,teresa91@example.org,759,3,1
9,2,teresa91@example.org,759,4,1
10,2,teresa91@example.org,759,5,1
11,4,aracelide-leon@example.org,759,1,1
12,1,aracelide-leon@example.org,759,2,1
13,1,aracelide-leon@example.org,759,3,1
14,4,aracelide-leon@example.org,759,4,1
15,3,aracelide-leon@example.org,759,5,1
16,2,oscarbetancourt@example.com,759,1,1
17,1,oscarbetancourt@example.com,759,2,1
18,1,oscarbetancourt@example.com,759,3,1
19,1,oscarbetancourt@example.com,759,4,1
20,1,oscarbetancourt@example.com,759,5,1
21,3,normavillareal@example.net,759,1,1
22,1,normavillareal@example.net,759,2,1
23,1,normavillareal@example.net,759,3,1
24,2,normavillareal@example.net,759,4,1
25,1,normavillareal@example.net,759,5,1
26,5,roybalestela@example.net,759,1,1
27,0,roybalestela@example.net,759,2,1
28,1,roybalestela@example.net,759,3,1
29,4,roybalestela@example.net,759,4,1
30,2,roybalestela@example.net,759,5,1
31,5,ysamaniego@example.org,759,1,1
32,0,ysamaniego@example.org,759,2,1
33,0,ysamaniego@example.org,759,3,1
34,4,ysamaniego@example.org,759,4,1
35,2,ysamaniego@example.org,759,5,1
36,3,adelaroybal@example.com,759,1,1
37,0,adelaroybal@example.com,759,2,1
38,0,adelaroybal@example.com,759,3,1
39,1,adelaroybal@example.com,759,4,1
40,1,adelaroybal@example.com,759,5,1
41,2,gmadera@example.org,759,1,1
42,1,gmadera@example.org,759,2,1
43,0,gmadera@example.org,759,3,1
44,1,gmadera@example.org,759,4,1
45,2,gmadera@example.org,759,5,1
46,3,irosas@example.com,759,1,1
47,0,irosas@example.com,759,2,1
48,0,irosas@example.com,759,3,1
49,2,irosas@example.com,759,4,1
50,1,irosas@example.com,759,5,1
51,4,esther14@example.com,759,1,1
52,0,esther14@example.com,759,2,1
53,0,esther14@example.com,759,3,1
54,3,esther14@example.com,759,4,1
55,1,esther14@example.com,759,5,1
56,3,paola60@example.org,759,1,1
57,1,paola60@example.org,759,2,1
58,0,paola60@example.org,759,3,1
59,3,paola60@example.org,759,4,1
60,2,paola60@example.org,759,5,1
61,3,lorenzopuente@example.org,759,1,1
62,0,lorenzopuente@example.org,759,2,1
63,0,lorenzopuente@example.org,759,3,1
64,2,lorenzopuente@example.org,759,4,1
65,2,lorenzopuente@example.org,759,5,1
66,4,ccandelaria@example.org,759,1,1
67,1,ccandelaria@example.org,759,2,1
68,1,ccandelaria@example.org,759,3,1
69,1,ccandelaria@example.org,759,4,1
70,2,ccandelaria@example.org,759,5,1
71,4,ecalderon@example.net,759,1,1
72,0,ecalderon@example.net,759,2,1
73,1,ecalderon@example.net,759,3,1
74,2,ecalderon@example.net,759,4,1
75,3,ecalderon@example.net,759,5,1
76,5,qapodaca@example.org,759,1,1
77,0,qapodaca@example.org,759,2,1
78,1,qapodaca@example.org,759,3,1
79,1,qapodaca@example.org,759,4,1
80,3,qapodaca@example.org,759,5,1
81,3,valejandro@example.org,759,1,1
82,1,valejandro@example.org,759,2,1
83,1,valejandro@example.org,759,3,1
84,2,valejandro@example.org,759,4,1
85,2,valejandro@example.org,759,5,1
86,4,esteban04@example.net,759,1,1
87,1,esteban04@example.net,759,2,1
88,0,esteban04@example.net,759,3,1
89,4,esteban04@example.net,759,4,1
90,3,esteban04@example.net,759,5,1
91,2,granadoesparta@example.net,759,1,1
92,0,granadoesparta@example.net,759,2,1
93,0,granadoesparta@example.net,759,3,1
94,1,granadoesparta@example.net,759,4,1
95,2,granadoesparta@example.net,759,5,1
96,4,del-rioabigail@example.org,759,1,1
97,0,del-rioabigail@example.org,759,2,1
98,1,del-rioabigail@example.org,759,3,1
99,3,del-rioabigail@example.org,759,4,1
100,3,del-rioabigail@example.org,759,5,1
101,2,jgalarza@example.net,759,1,1
102,0,jgalarza@example.net,759,2,1
103,0,jgalarza@example.net,759,3,1
104,4,jgalarza@example.net,759,4,1
105,3,jgalarza@example.net,759,5,1
106,3,qcolunga@example.com,759,1,1
107,1,qcolunga@example.com,759,2,1
108,0,qcolunga@example.com,759,3,1
109,4,qcolunga@example.com,759,4,1
110,1,qcolunga@example.com,759,5,1
111,5,joaquinleon@example.net,759,1,1
112,1,joaquinleon@example.net,759,2,1
113,0,joaquinleon@example.net,759,3,1
114,2,joaquinleon@example.net,759,4,1
115,2,joaquinleon@example.net,759,5,1
116,2,olivia36@example.org,759,1,1
117,1,olivia36@example.org,759,2,1
118,1,olivia36@example.org,759,3,1
119,1,olivia36@example.org,759,4,1
120,1,olivia36@example.org,759,5,1
121,5,eloy78@example.net,759,1,1
122,0,eloy78@example.net,759,2,1
123,1,eloy78@example.net,759,3,1
124,3,eloy78@example.net,759,4,1
125,2,eloy78@example.net,759,5,1
126,2,ivancasanova@example.com,759,1,1
127,1,ivancasanova@example.com,759,2,1
128,0,ivancasanova@example.com,759,3,1
129,2,ivancasanova@example.com,759,4,1
130,2,ivancasanova@example.com,759,5,1
131,2,anel09@example.com,759,1,1
132,0,anel09@example.com,759,2,1
133,0,anel09@example.com,759,3,1
134,1,anel09@example.com,759,4,1
135,1,anel09@example.com,759,5,1
136,5,caballerojulio@example.com,759,1,1
137,0,caballerojulio@example.com,759,2,1
138,1,caballerojulio@example.com,759,3,1
139,1,caballerojulio@example.com,759,4,1
140,2,caballerojulio@example.com,759,5,1
141,5,rufinodelgadillo@example.com,759,1,1
142,1,rufinodelgadillo@example.com,759,2,1
143,0,rufinodelgadillo@example.com,759,3,1
144,3,rufinodelgadillo@example.com,759,4,1
145,2,rufinodelgadillo@example.com,759,5,1
146,4,dulce55@example.com,759,1,1
147,0,dulce55@example.com,759,2,1
148,1,dulce55@example.com,759,3,1
149,1,dulce55@example.com,759,4,1
150,3,dulce55@example.com,759,5,1
151,3,iglesiashoracio@example.net,759,1,1
152,0,iglesiashoracio@example.net,759,2,1
153,0,iglesiashoracio@example.net,759,3,1
154,1,iglesiashoracio@example.net,759,4,1
155,2,iglesiashoracio@example.net,759,5,1
156,4,acordero@example.com,759,1,1
157,1,acordero@example.com,759,2,1
158,0,acordero@example.com,759,3,1
159,1,acordero@example.com,759,4,1
160,2,acordero@example.com,759,5,1
161,2,sonia28@example.com,759,1,1
162,1,sonia28@example.com,759,2,1
163,0,sonia28@example.com,759,3,1
164,1,sonia28@example.com,759,4,1
165,2,sonia28@example.com,759,5,1
166,4,fidel14@example.com,759,1,1
167,1,fidel14@example.com,759,2,1
168,0,fidel14@example.com,759,3,1
169,3,fidel14@example.com,759,4,1
170,2,fidel14@example.com,759,5,1
171,2,rubyesparza@example.com,759,1,1
172,1,rubyesparza@example.com,759,2,1
173,1,rubyesparza@example.com,759,3,1
174,2,rubyesparza@example.com,759,4,1
175,3,rubyesparza@example.com,759,5,1
176,2,javier96@example.org,759,1,1
177,1,javier96@example.org,759,2,1
178,1,javier96@example.org,759,3,1
179,1,javier96@example.org,759,4,1
180,2,javier96@example.org,759,5,1
181,3,dgarza@example.com,759,1,1
182,0,dgarza@example.com,759,2,1
183,1,dgarza@example.com,759,3,1
184,4,dgarza@example.com,759,4,1
185,3,dgarza@example.com,759,5,1
186,5,saldanasoledad@example.com,759,1,1
187,1,saldanasoledad@example.com,759,2,1
188,0,saldanasoledad@example.com,759,3,1
189,3,saldanasoledad@example.com,759,4,1
190,1,saldanasoledad@example.com,759,5,1
191,3,gracielacordova@example.net,759,1,1
192,0,gracielacordova@example.net,759,2,1
193,0,gracielacordova@example.net,759,3,1
194,3,gracielacordova@example.net,759,4,1
195,3,gracielacordova@example.net,759,5,1
196,5,ytorres@example.com,759,1,1
197,0,ytorres@example.com,759,2,1
198,1,ytorres@example.com,759,3,1
199,1,ytorres@example.com,759,4,1
200,1,ytorres@example.com,759,5,1
201,5,rodolfo57@example.org,759,1,1
202,0,rodolfo57@example.org,759,2,1
203,0,rodolfo57@example.org,759,3,1
204,3,rodolfo57@example.org,759,4,1
205,3,rodolfo57@example.org,759,5,1
206,2,avilaenrique@example.net,759,1,1
207,0,avilaenrique@example.net,759,2,1
208,1,avilaenrique@example.net,759,3,1
209,1,avilaenrique@example.net,759,4,1
210,2,avilaenrique@example.net,759,5,1
211,3,genaro38@example.org,759,1,1
212,1,genaro38@example.org,759,2,1
213,0,genaro38@example.org,759,3,1
214,2,genaro38@example.org,759,4,1
215,3,genaro38@example.org,759,5,1
216,4,camilonava@example.com,759,1,1
217,0,camilonava@example.com,759,2,1
218,1,camilonava@example.com,759,3,1
219,3,camilonava@example.com,759,4,1
220,1,camilonava@example.com,759,5,1
221,3,maria-josepuga@example.com,759,1,1
222,0,maria-josepuga@example.com,759,2,1
223,1,maria-josepuga@example.com,759,3,1
224,2,maria-josepuga@example.com,759,4,1
225,1,maria-josepuga@example.com,759,5,1
226,4,pcarvajal@example.net,759,1,1
227,1,pcarvajal@example.net,759,2,1
228,0,pcarvajal@example.net,759,3,1
229,2,pcarvajal@example.net,759,4,1
230,3,pcarvajal@example.net,759,5,1
231,5,leonardochavarria@example.org,759,1,1
232,1,leonardochavarria@example.org,759,2,1
233,1,leonardochavarria@example.org,759,3,1
234,1,leonardochavarria@example.org,759,4,1
235,1,leonardochavarria@example.org,759,5,1
236,2,jose-emilio94@example.org,759,1,1
237,0,jose-emilio94@example.org,759,2,1
238,0,jose-emilio94@example.org,759,3,1
239,1,jose-emilio94@example.org,759,4,1
240,1,jose-emilio94@example.org,759,5,1
241,3,gsolorio@example.net,759,1,1
242,1,gsolorio@example.net,759,2,1
243,1,gsolorio@example.net,759,3,1
244,1,gsolorio@example.net,759,4,1
245,1,gsolorio@example.net,759,5,1
246,5,madridserafin@example.net,759,1,1
247,0,madridserafin@example.net,759,2,1
248,0,madridserafin@example.net,759,3,1
249,4,madridserafin@example.net,759,4,1
250,3,madridserafin@example.net,759,5,1
251,2,vmelgar@example.org,759,1,1
252,1,vmelgar@example.org,759,2,1
253,0,vmelgar@example.org,759,3,1
254,4,vmelgar@example.org,759,4,1
255,2,vmelgar@example.org,759,5,1
256,2,ramosdaniela@example.org,759,1,1
257,0,ramosdaniela@example.org,759,2,1
258,1,ramosdaniela@example.org,759,3,1
259,2,ramosdaniela@example.org,759,4,1
260,3,ramosdaniela@example.org,759,5,1
261,3,rosarioulloa@example.org,759,1,1
262,1,rosarioulloa@example.org,759,2,1
263,1,rosarioulloa@example.org,759,3,1
264,1,rosarioulloa@example.org,759,4,1
265,3,rosarioulloa@example.org,759,5,1
266,3,luis-manuelpatino@example.net,759,1,1
267,1,luis-manuelpatino@example.net,759,2,1
268,1,luis-manuelpatino@example.net,759,3,1
269,3,luis-manuelpatino@example.net,759,4,1
270,3,luis-manuelpatino@example.net,759,5,1
271,3,juan-carlos74@example.com,759,1,1
272,1,juan-carlos74@example.com,759,2,1
273,1,juan-carlos74@example.com,759,3,1
274,2,juan-carlos74@example.com,759,4,1
275,3,juan-carlos74@example.com,759,5,1
276,4,lilia68@example.org,759,1,1
277,1,lilia68@example.org,759,2,1
278,0,lilia68@example.org,759,3,1
279,3,lilia68@example.org,759,4,1
280,1,lilia68@example.org,759,5,1
281,2,xmeraz@example.net,759,1,1
282,1,xmeraz@example.net,759,2,1
283,1,xmeraz@example.net,759,3,1
284,1,xmeraz@example.net,759,4,1
285,2,xmeraz@example.net,759,5,1
286,4,yzamora@example.org,759,1,1
287,1,yzamora@example.org,759,2,1
288,0,yzamora@example.org,759,3,1
289,1,yzamora@example.org,759,4,1
290,1,yzamora@example.org,759,5,1
291,2,pinedaaldo@example.com,759,1,1
292,0,pinedaaldo@example.com,759,2,1
293,1,pinedaaldo@example.com,759,3,1
294,4,pinedaaldo@example.com,759,4,1
295,2,pinedaaldo@example.com,759,5,1
296,2,gbriseno@example.net,759,1,1
297,0,gbriseno@example.net,759,2,1
298,0,gbriseno@example.net,759,3,1
299,1,gbriseno@example.net,759,4,1
300,3,gbriseno@example.net,759,5,1
301,2,ttoro@example.com,759,1,1
302,1,ttoro@example.com,759,2,1
303,0,ttoro@example.com,759,3,1
304,2,ttoro@example.com,759,4,1
305,2,ttoro@example.com,759,5,1
306,3,carrillodaniel@example.net,759,1,1
307,0,carrillodaniel@example.net,759,2,1
308,1,carrillodaniel@example.net,759,3,1
309,1,carrillodaniel@example.net,759,4,1
310,3,carrillodaniel@example.net,759,5,1
311,4,frida66@example.net,759,1,1
312,1,frida66@example.net,759,2,1
313,0,frida66@example.net,759,3,1
314,4,frida66@example.net,759,4,1
315,2,frida66@example.net,759,5,1
316,3,leonor86@example.com,759,1,1
317,1,leonor86@example.com,759,2,1
318,1,leonor86@example.com,759,3,1
319,3,leonor86@example.com,759,4,1
320,1,leonor86@example.com,759,5,1
321,3,villegasvictor@example.org,759,1,1
322,1,villegasvictor@example.org,759,2,1
323,0,villegasvictor@example.org,759,3,1
324,4,villegasvictor@example.org,759,4,1
325,1,villegasvictor@example.org,759,5,1
326,3,armando38@example.net,759,1,1
327,0,armando38@example.net,759,2,1
328,0,armando38@example.net,759,3,1
329,4,armando38@example.net,759,4,1
330,3,armando38@example.net,759,5,1
331,5,omar70@example.com,759,1,1
332,1,omar70@example.com,759,2,1
333,1,omar70@example.com,759,3,1
334,1,omar70@example.com,759,4,1
335,2,omar70@example.com,759,5,1
336,5,aangulo@example.com,759,1,1
337,1,aangulo@example.com,759,2,1
338,1,aangulo@example.com,759,3,1
339,3,aangulo@example.com,759,4,1
340,1,aangulo@example.com,759,5,1
341,2,mgastelum@example.net,759,1,1
342,0,mgastelum@example.net,759,2,1
343,0,mgastelum@example.net,759,3,1
344,2,mgastelum@example.net,759,4,1
345,3,mgastelum@example.net,759,5,1
346,3,lalonso@example.com,759,1,1
347,0,lalonso@example.com,759,2,1
348,0,lalonso@example.com,759,3,1
349,4,lalonso@example.com,759,4,1
350,3,lalonso@example.com,759,5,1
351,4,holguinasuncion@example.com,759,1,1
352,1,holguinasuncion@example.com,759,2,1
353,0,holguinasuncion@example.com,759,3,1
354,2,holguinasuncion@example.com,759,4,1
355,2,holguinasuncion@example.com,759,5,1
356,2,raquel03@example.org,759,1,1
357,1,raquel03@example.org,759,2,1
358,0,raquel03@example.org,759,3,1
359,4,raquel03@example.org,759,4,1
360,2,raquel03@example.org,759,5,1
361,3,rodolfo82@example.org,759,1,1
362,0,rodolfo82@example.org,759,2,1
363,0,rodolfo82@example.org,759,3,1
364,1,rodolfo82@example.org,759,4,1
365,2,rodolfo82@example.org,759,5,1
366,3,mariano37@example.com,759,1,1
367,1,mariano37@example.com,759,2,1
368,0,mariano37@example.com,759,3,1
369,4,mariano37@example.com,759,4,1
370,3,mariano37@example.com,759,5,1
371,3,cesarbatista@example.net,759,1,1
372,0,cesarbatista@example.net,759,2,1
373,1,cesarbatista@example.net,759,3,1
374,2,cesarbatista@example.net,759,4,1
375,3,cesarbatista@example.net,759,5,1
376,3,vergaraadalberto@example.org,759,1,1
377,1,vergaraadalberto@example.org,759,2,1
378,1,vergaraadalberto@example.org,759,3,1
379,4,vergaraadalberto@example.org,759,4,1
380,3,vergaraadalberto@example.org,759,5,1
381,4,tsosa@example.net,759,1,1
382,0,tsosa@example.net,759,2,1
383,0,tsosa@example.net,759,3,1
384,1,tsosa@example.net,759,4,1
385,1,tsosa@example.net,759,5,1
386,4,centenodiego@example.net,759,1,1
387,0,centenodiego@example.net,759,2,1
388,1,centenodiego@example.net,759,3,1
389,1,centenodiego@example.net,759,4,1
390,2,centenodiego@example.net,759,5,1
391,5,emilia50@example.net,759,1,1
392,0,emilia50@example.net,759,2,1
393,0,emilia50@example.net,759,3,1
394,1,emilia50@example.net,759,4,1
395,3,emilia50@example.net,759,5,1
396,2,mamador@example.com,759,1,1
397,1,mamador@example.com,759,2,1
398,0,mamador@example.com,759,3,1
399,3,mamador@example.com,759,4,1
400,2,mamador@example.com,759,5,1
401,5,tomas41@example.net,759,1,1
402,0,tomas41@example.net,759,2,1
403,1,tomas41@example.net,759,3,1
404,3,tomas41@example.net,759,4,1
405,3,tomas41@example.net,759,5,1
406,3,luis-manuel57@example.com,759,1,1
407,0,luis-manuel57@example.com,759,2,1
408,0,luis-manuel57@example.com,759,3,1
409,1,luis-manuel57@example.com,759,4,1
410,2,luis-manuel57@example.com,759,5,1
411,5,karinaquesada@example.org,759,1,1
412,0,karinaquesada@example.org,759,2,1
413,0,karinaquesada@example.org,759,3,1
414,2,karinaquesada@example.org,759,4,1
415,1,karinaquesada@example.org,759,5,1
416,3,luis-miguel95@example.org,759,1,1
417,0,luis-miguel95@example.org,759,2,1
418,0,luis-miguel95@example.org,759,3,1
419,3,luis-miguel95@example.org,759,4,1
420,1,luis-miguel95@example.org,759,5,1
421,4,menapilar@example.net,759,1,1
422,1,menapilar@example.net,759,2,1
423,0,menapilar@example.net,759,3,1
424,2,menapilar@example.net,759,4,1
425,3,menapilar@example.net,759,5,1
426,4,rebeca85@example.org,759,1,1
427,1,rebeca85@example.org,759,2,1
428,1,rebeca85@example.org,759,3,1
429,3,rebeca85@example.org,759,4,1
430,3,rebeca85@example.org,759,5,1
431,4,itzelcepeda@example.net,759,1,1
432,0,itzelcepeda@example.net,759,2,1
433,1,itzelcepeda@example.net,759,3,1
434,3,itzelcepeda@example.net,759,4,1
435,3,itzelcepeda@example.net,759,5,1
436,3,wjurado@example.com,759,1,1
437,1,wjurado@example.com,759,2,1
438,0,wjurado@example.com,759,3,1
439,2,wjurado@example.com,759,4,1
440,1,wjurado@example.com,759,5,1
441,2,oalmonte@example.org,759,1,1
442,1,oalmonte@example.org,759,2,1
443,0,oalmonte@example.org,759,3,1
444,1,oalmonte@example.org,759,4,1
445,2,oalmonte@example.org,759,5,1
446,4,pchavarria@example.com,759,1,1
447,1,pchavarria@example.com,759,2,1
448,0,pchavarria@example.com,759,3,1
449,4,pchavarria@example.com,759,4,1
450,1,pchavarria@example.com,759,5,1
451,5,tvillagomez@example.net,759,1,1
452,1,tvillagomez@example.net,759,2,1
453,0,tvillagomez@example.net,759,3,1
454,1,tvillagomez@example.net,759,4,1
455,1,tvillagomez@example.net,759,5,1
456,5,helenaestrada@example.com,759,1,1
457,0,helenaestrada@example.com,759,2,1
458,1,helenaestrada@example.com,759,3,1
459,1,helenaestrada@example.com,759,4,1
460,1,helenaestrada@example.com,759,5,1
461,5,delia78@example.com,759,1,1
462,0,delia78@example.com,759,2,1
463,1,delia78@example.com,759,3,1
464,2,delia78@example.com,759,4,1
465,3,delia78@example.com,759,5,1
466,2,isabelrosales@example.com,759,1,1
467,1,isabelrosales@example.com,759,2,1
468,1,isabelrosales@example.com,759,3,1
469,4,isabelrosales@example.com,759,4,1
470,2,isabelrosales@example.com,759,5,1
471,3,ffonseca@example.net,759,1,1
472,1,ffonseca@example.net,759,2,1
473,0,ffonseca@example.net,759,3,1
474,4,ffonseca@example.net,759,4,1
475,3,ffonseca@example.net,759,5,1
476,5,raulrosas@example.org,759,1,1
477,0,raulrosas@example.org,759,2,1
478,1,raulrosas@example.org,759,3,1
479,3,raulrosas@example.org,759,4,1
480,1,raulrosas@example.org,759,5,1
481,2,psaldivar@example.com,759,1,1
482,1,psaldivar@example.com,759,2,1
483,1,psaldivar@example.com,759,3,1
484,2,psaldivar@example.com,759,4,1
485,3,psaldivar@example.com,759,5,1
486,2,jose-mariacollado@example.net,759,1,1
487,1,jose-mariacollado@example.net,759,2,1
488,0,jose-mariacollado@example.net,759,3,1
489,2,jose-mariacollado@example.net,759,4,1
490,2,jose-mariacollado@example.net,759,5,1
491,5,regaladomaximiliano@example.com,759,1,1
492,0,regaladomaximiliano@example.com,759,2,1
493,1,regaladomaximiliano@example.com,759,3,1
494,4,regaladomaximiliano@example.com,759,4,1
495,2,regaladomaximiliano@example.com,759,5,1
496,4,luisaalcantar@example.com,759,1,1
497,1,luisaalcantar@example.com,759,2,1
498,1,luisaalcantar@example.com,759,3,1
499,1,luisaalcantar@example.com,759,4,1
500,3,luisaalcantar@example.com,759,5,1
501,3,modesto43@example.org,658,1,1
502,0,modesto43@example.org,658,2,1
503,0,modesto43@example.org,658,3,1
504,2,modesto43@example.org,658,4,1
505,3,modesto43@example.org,658,5,1
506,3,teresa91@example.org,658,1,1
507,0,teresa91@example.org,658,2,1
508,1,teresa91@example.org,658,3,1
509,2,teresa91@example.org,658,4,1
510,2,teresa91@example.org,658,5,1
511,2,aracelide-leon@example.org,658,1,1
512,0,aracelide-leon@example.org,658,2,1
513,0,aracelide-leon@example.org,658,3,1
514,2,aracelide-leon@example.org,658,4,1
515,3,aracelide-leon@example.org,658,5,1
516,3,oscarbetancourt@example.com,658,1,1
517,1,oscarbetancourt@example.com,658,2,1
518,1,oscarbetancourt@example.com,658,3,1
519,2,oscarbetancourt@example.com,658,4,1
520,1,oscarbetancourt@example.com,658,5,1
521,2,normavillareal@example.net,658,1,1
522,0,normavillareal@example.net,658,2,1
523,0,normavillareal@example.net,658,3,1
524,4,normavillareal@example.net,658,4,1
525,1,normavillareal@example.net,658,5,1
526,2,roybalestela@example.net,658,1,1
527,0,roybalestela@example.net,658,2,1
528,1,roybalestela@example.net,658,3,1
529,4,roybalestela@example.net,658,4,1
530,3,roybalestela@example.net,658,5,1
531,4,ysamaniego@example.org,658,1,1
532,0,ysamaniego@example.org,658,2,1
533,0,ysamaniego@example.org,658,3,1
534,1,ysamaniego@example.org,658,4,1
535,1,ysamaniego@example.org,658,5,1
536,2,adelaroybal@example.com,658,1,1
537,1,adelaroybal@example.com,658,2,1
538,1,adelaroybal@example.com,658,3,1
539,2,adelaroybal@example.com,658,4,1
540,2,adelaroybal@example.com,658,5,1
541,4,gmadera@example.org,658,1,1
542,0,gmadera@example.org,658,2,1
543,0,gmadera@example.org,658,3,1
544,4,gmadera@example.org,658,4,1
545,2,gmadera@example.org,658,5,1
546,4,irosas@example.com,658,1,1
547,1,irosas@example.com,658,2,1
548,1,irosas@example.com,658,3,1
549,4,irosas@example.com,658,4,1
550,2,irosas@example.com,658,5,1
551,5,esther14@example.com,658,1,1
552,0,esther14@example.com,658,2,1
553,0,esther14@example.com,658,3,1
554,3,esther14@example.com,658,4,1
555,1,esther14@example.com,658,5,1
556,5,paola60@example.org,658,1,1
557,1,paola60@example.org,658,2,1
558,1,paola60@example.org,658,3,1
559,3,paola60@example.org,658,4,1
560,2,paola60@example.org,658,5,1
561,4,lorenzopuente@example.org,658,1,1
562,1,lorenzopuente@example.org,658,2,1
563,1,lorenzopuente@example.org,658,3,1
564,2,lorenzopuente@example.org,658,4,1
565,2,lorenzopuente@example.org,658,5,1
566,5,ccandelaria@example.org,658,1,1
567,1,ccandelaria@example.org,658,2,1
568,0,ccandelaria@example.org,658,3,1
569,4,ccandelaria@example.org,658,4,1
570,2,ccandelaria@example.org,658,5,1
571,4,ecalderon@example.net,658,1,1
572,0,ecalderon@example.net,658,2,1
573,1,ecalderon@example.net,658,3,1
574,4,ecalderon@example.net,658,4,1
575,1,ecalderon@example.net,658,5,1
576,3,qapodaca@example.org,658,1,1
577,0,qapodaca@example.org,658,2,1
578,1,qapodaca@example.org,658,3,1
579,2,qapodaca@example.org,658,4,1
580,3,qapodaca@example.org,658,5,1
581,4,valejandro@example.org,658,1,1
582,1,valejandro@example.org,658,2,1
583,1,valejandro@example.org,658,3,1
584,2,valejandro@example.org,658,4,1
585,1,valejandro@example.org,658,5,1
586,2,esteban04@example.net,658,1,1
587,1,esteban04@example.net,658,2,1
588,0,esteban04@example.net,658,3,1
589,2,esteban04@example.net,658,4,1
590,1,esteban04@example.net,658,5,1
591,5,granadoesparta@example.net,658,1,1
592,1,granadoesparta@example.net,658,2,1
593,1,granadoesparta@example.net,658,3,1
594,1,granadoesparta@example.net,658,4,1
595,2,granadoesparta@example.net,658,5,1
596,3,del-rioabigail@example.org,658,1,1
597,0,del-rioabigail@example.org,658,2,1
598,0,del-rioabigail@example.org,658,3,1
599,3,del-rioabigail@example.org,658,4,1
600,2,del-rioabigail@example.org,658,5,1
601,5,jgalarza@example.net,658,1,1
602,0,jgalarza@example.net,658,2,1
603,0,jgalarza@example.net,658,3,1
604,3,jgalarza@example.net,658,4,1
605,3,jgalarza@example.net,658,5,1
606,4,qcolunga@example.com,658,1,1
607,0,qcolunga@example.com,658,2,1
608,0,qcolunga@example.com,658,3,1
609,3,qcolunga@example.com,658,4,1
610,3,qcolunga@example.com,658,5,1
611,5,joaquinleon@example.net,658,1,1
612,1,joaquinleon@example.net,658,2,1
613,0,joaquinleon@example.net,658,3,1
614,1,joaquinleon@example.net,658,4,1
615,3,joaquinleon@example.net,658,5,1
616,2,olivia36@example.org,658,1,1
617,0,olivia36@example.org,658,2,1
618,0,olivia36@example.org,658,3,1
619,4,olivia36@example.org,658,4,1
620,3,olivia36@example.org,658,5,1
621,5,eloy78@example.net,658,1,1
622,0,eloy78@example.net,658,2,1
623,1,eloy78@example.net,658,3,1
624,3,eloy78@example.net,658,4,1
625,2,eloy78@example.net,658,5,1
626,5,ivancasanova@example.com,658,1,1
627,1,ivancasanova@example.com,658,2,1
628,1,ivancasanova@example.com,658,3,1
629,1,ivancasanova@example.com,658,4,1
630,2,ivancasanova@example.com,658,5,1
631,2,anel09@example.com,658,1,1
632,1,anel09@example.com,658,2,1
633,1,anel09@example.com,658,3,1
634,4,anel09@example.com,658,4,1
635,3,anel09@example.com,658,5,1
636,4,caballerojulio@example.com,658,1,1
637,0,caballerojulio@example.com,658,2,1
638,0,caballerojulio@example.com,658,3,1
639,3,caballerojulio@example.com,658,4,1
640,2,caballerojulio@example.com,658,5,1
641,3,rufinodelgadillo@example.com,658,1,1
642,0,rufinodelgadillo@example.com,658,2,1
643,1,rufinodelgadillo@example.com,658,3,1
644,2,rufinodelgadillo@example.com,658,4,1
645,2,rufinodelgadillo@example.com,658,5,1
646,2,dulce55@example.com,658,1,1
647,0,dulce55@example.com,658,2,1
648,1,dulce55@example.com,658,3,1
649,4,dulce55@example.com,658,4,1
650,1,dulce55@example.com,658,5,1
651,4,iglesiashoracio@example.net,658,1,1
652,1,iglesiashoracio@example.net,658,2,1
653,1,iglesiashoracio@example.net,658,3,1
654,3,iglesiashoracio@example.net,658,4,1
655,3,iglesiashoracio@example.net,658,5,1
656,2,acordero@example.com,658,1,1
657,0,acordero@example.com,658,2,1
658,1,acordero@example.com,658,3,1
659,3,acordero@example.com,658,4,1
660,1,acordero@example.com,658,5,1
661,4,sonia28@example.com,658,1,1
662,0,sonia28@example.com,658,2,1
663,0,sonia28@example.com,658,3,1
664,2,sonia28@example.com,658,4,1
665,1,sonia28@example.com,658,5,1
666,4,fidel14@example.com,658,1,1
667,0,fidel14@example.com,658,2,1
668,0,fidel14@example.com,658,3,1
669,3,fidel14@example.com,658,4,1
670,2,fidel14@example.com,658,5,1
671,3,rubyesparza@example.com,658,1,1
672,0,rubyesparza@example.com,658,2,1
673,0,rubyesparza@example.com,658,3,1
674,4,rubyesparza@example.com,658,4,1
675,1,rubyesparza@example.com,658,5,1
676,3,javier96@example.org,658,1,1
677,1,javier96@example.org,658,2,1
678,0,javier96@example.org,658,3,1
679,4,javier96@example.org,658,4,1
680,2,javier96@example.org,658,5,1
681,3,dgarza@example.com,658,1,1
682,0,dgarza@example.com,658,2,1
