usr_correo,usr_nombre,usr_ap_paterno,usr_ap_materno,usr_contrasenia,usr_fecha_nac,usr_telefono,usr_foto,usr_tipo,usr_verificado
modesto43@example.org,Reynaldo,Vaca,Bermúdez,$2b$12$a3P/oFyEZOTJTNNcWY1mz.kpgzxrYqHmg.ZE.RgwqboLWoY6o0Gbi,1949-07-19,+52 2824 1409,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png,1,1
teresa91@example.org,Felix,Escobedo,Cisneros,$2b$12$jtyMG0csI5ByZCPR6sU9M.RsKu9WKOy9w2EYPnbRIm.fgTKoO7JSi,1969-06-29,+52 2679 9935,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png,1,1
aracelide-leon@example.org,Minerva,Salcido,Ortiz,$2b$12$FBcAD8X3z6xdDRnECgGLuujxBX.S0nJ2wvk1dgs7WCGTDz9SFWHs2,1953-04-20,+52 2535 4582,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png,1,1
oscarbetancourt@example.com,Victoria,Cardona,Flórez,$2b$12$JOnCFulYtvmI8m8WZIV.PeHweIlxZtJ2QsKHUsgmD9T/8rzIsOkdq,1963-04-25,+52 9928 7873,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png,1,1
normavillareal@example.net,Timoteo,Dueñas,Valladares,$2b$12$LglSAgvz/95EjG/mUzrTduAgRFgJIg37VxxJCsbUw30Lfki7ikboW,1981-06-08,+52 1106 3615,https://cdn.nba.com/headshots/nba/latest/1040x760/1630579.png,1,1
roybalestela@example.net,Cornelio,Villalobos,de Jesús,$2b$12$cNJIuTUHgqHMozkLEgk55OOUWBs5iWsfzLcHSbtgVjd3m9UUkgAhi,1945-02-01,+52 4527 6514,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,1,1
ysamaniego@example.org,María del Carmen,Lira,Posada,$2b$12$hw5hLPSvYwIa.vbEhFBrjebOgXEEeEYNS3VhY.5MEnOfT7y0AoErm,1971-07-04,+52 6881 6635,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png,1,1
adelaroybal@example.com,Daniela,Almonte,Macías,$2b$12$5IEpKP42y0gVolxhwJUK3u0AGd8aBxYYBPt0k8ArfNtoA6C7Yvqja,1988-07-21,+52 8527 9785,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,1,1
gmadera@example.org,Timoteo,Rascón,Marroquín,$2b$12$ATPStihOUTLOTaAOjcN3huFfWvcLm.RF8iXgEm/lIz9D79KLbk36i,1981-10-29,+52 5803 6925,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png,1,1
irosas@example.com,Concepción,Sauceda,Oquendo,$2b$12$frL8oNHJ6h3hyT79VhQONOMKfkY/h5XLzT8LK6S4uxoBnB0qr3HIK,1951-02-16,+52 1750 4733,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png,1,1
esther14@example.com,Itzel,Amador,Portillo,$2b$12$m75qodB88YaBEWtuukbwpOm0FlX5/QY2QQUVs03IQolDxjks2CjoG,1945-10-30,+52 2654 7227,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png,1,1
paola60@example.org,Eric,Irizarry,Cordero,$2b$12$7bT5tv2I/2BYxiBHU3IhA.A3NMx/TWc8OKn/g1/UkR8D.si.axari,1987-06-05,+52 3664 7065,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png,1,1
lorenzopuente@example.org,Irene,Mayorga,Trejo,$2b$12$CzmEWnUrJK7lQctHWzV.r.P..v3F1zI9r9d3yWRcZnhbsPEp9.IQy,1992-12-09,+52 2169 3803,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
ccandelaria@example.org,Noemí,Pantoja,Padrón,$2b$12$5nTlprmLnepUGDIf3fSuWeUYOSoKpnTCdFs9H2BXmf9NMtxMQZUh.,1982-07-07,+52 7216 5422,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
ecalderon@example.net,Olivia,Armas,Muñoz,$2b$12$itN7TuG3ii9coU9ykprgSeOKt46FSeLktQZPjs5CP19tfA4Jbhina,1947-09-01,+52 1916 4752,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png,1,1
qapodaca@example.org,Guillermo,Viera,Mondragón,$2b$12$OlqOrtkxwMzwLpPq8e/i5eBDifJ0CqxNcYULv8BLRUWsGjY9dVyK.,1954-11-16,+52 2084 4456,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png,1,1
valejandro@example.org,Vanesa,Peres,Montero,$2b$12$H0WsYVtPDkrfOnP8topQBeHh.Njl8FgZ3mbRm.ksv8E.5b7bq.w8G,1957-08-05,+52 9179 7482,https://cdn.nba.com/headshots/nba/latest/1040x760/1630543.png,1,1
esteban04@example.net,Karla,Castañeda,Haro,$2b$12$7oComX1Pr2AiY1cTNU6B2uIF..jFlyTBb34Xo/46eOY8O1Ovj3JKG,1957-05-18,+52 5040 9830,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png,1,1
granadoesparta@example.net,Isabel,Castillo,Luna,$2b$12$fj4LXTKdhgxIc.kiwynybuSrZZ1GLSOi/.5vRKYZ5HjJ7W./F1HJu,1971-10-29,+52 6930 4593,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png,1,1
del-rioabigail@example.org,Ángel,Tapia,Lira,$2b$12$qzAf8MdpJWpPRHO/fJ6lKeImni0WX0wFMVwYcmuyHx3Hobahbcrti,2006-09-19,+52 2796 3504,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png,1,1
jgalarza@example.net,Jonás,Angulo,Zavala,$2b$12$fb4VKTmfBGRLgJXpH.FWHOGxVsWja4YdY8w7cmd6/CyHlv2jjs/uS,1966-07-09,+52 7304 7252,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png,1,1
qcolunga@example.com,Lorenzo,Gonzales,Escalante,$2b$12$R70V8fOB58oAM9nloHKcLO8CD311i2cewWeoALo9hlFaKmec/6PWW,1970-08-27,+52 1188 2876,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
joaquinleon@example.net,César,Trujillo,Esparza,$2b$12$4zrbiiGLfCd.I9ZXR7O43eQ3/npAsimhhdxnZBmFUUbYlkUwq0OMO,1996-04-10,+52 6573 2827,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png,1,1
olivia36@example.org,Gabino,Terrazas,de la Rosa,$2b$12$oVLyXMnNEDrn8e4uD.Qymuyum6jB1va9SLEjuL739zsPLyARaa6Oq,1964-07-30,+52 1053 5315,https://cdn.nba.com/headshots/nba/latest/1040x760/1630624.png,1,1
eloy78@example.net,Amalia,Cantú,Cedillo,$2b$12$Ab.LCMXZTiI4VEvPKytPaeXajd9lNP4qD6bv8lCWPIb4icbXQKrri,1952-06-22,+52 5889 9317,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png,1,1
ivancasanova@example.com,Marcela,Haro,Alba,$2b$12$fYaHKA.6u1e4J.53AWnjPe4huMPp.erAzL.SZQVGODJb53XypCXIu,2001-10-30,+52 3646 9837,https://cdn.nba.com/headshots/nba/latest/1040x760/1630624.png,1,1
anel09@example.com,Eloy,Ibarra,Guardado,$2b$12$mkwI1LrnFtd3tDYFSjAfYuyhc0t7Aaf2DS3bqZ2G9QJB4GKSoU8/.,1962-03-30,+52 9005 1319,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,1,1
caballerojulio@example.com,Blanca,Olivares,Murillo,$2b$12$QZ1r8.9lEIoF4uIRO9V7Y.klRYSNrfaP6Cvn9A/iYmOq3bT.jCzk2,1975-10-07,+52 4923 1949,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png,1,1
rufinodelgadillo@example.com,Evelio,Ledesma,Montaño,$2b$12$iJkcY7W/iFe0jZz5d0ddie.OCBuyuxUaw4ZLPIHYoV7IOWD2lN.Q.,1999-12-16,+52 8962 2133,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
dulce55@example.com,Oswaldo,de Jesús,Ceballos,$2b$12$azCLEHHEvKd3y9zKopiE1OrFc7kOuecL1Y0oCP6ynF29H1MELPtL6,1950-05-18,+52 8787 3705,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png,1,1
iglesiashoracio@example.net,Esperanza,Leiva,Romo,$2b$12$wwk.l6Cr3tZZaPb2Ik4EVe/2ZIOhPyrmq0gANUwREUm9mYWKck0yG,1997-01-28,+52 4295 6107,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png,1,1
acordero@example.com,Berta,Preciado,Canales,$2b$12$IzrTFKipFMDV5BRBG3gS9.Q2o5KiSwGwRTaQ149mlHoEaK8kioIYC,1993-03-25,+52 8397 2982,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png,1,1
sonia28@example.com,Sonia,Holguín,Abrego,$2b$12$O2C6RWrQ6ie6JIuRw9jr2OV6l0OmWXxvTJQVJHcMGGh2k8tlCZgz6,1983-07-10,+52 1344 4770,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png,1,1
fidel14@example.com,Inés,Armendáriz,Sauceda,$2b$12$azKrgnC2vzd4TKEwDKMf7.1ZSR1mImN1tcFsWlQsdvj3imGmGVkVi,1970-05-19,+52 1964 4750,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png,1,1
rubyesparza@example.com,Karla,Quintanilla,Zarate,$2b$12$/uLBZinOoiaBWGUQjysjYOvsJZcKcO6pSrKo6xpULLoYJ.0w/QiKC,1960-08-12,+52 2160 9423,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png,1,1
javier96@example.org,Nayeli,Castro,Leiva,$2b$12$UxPFt3VYWFI0oTALshBO6.CSz78IlK7Xe6.vPnW1xdLf4t1gxZ.Ha,1995-09-02,+52 4510 9834,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png,1,1
dgarza@example.com,Leticia,Arroyo,Blanco,$2b$12$cO58WT7mofL5jA7rvpscoea/QDdIqZZzdrYGgQ13NXSmBgXkrfvdO,1996-02-22,+52 7669 4119,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,1,1
saldanasoledad@example.com,Francisco,Leyva,Ferrer,$2b$12$EuQgh7n79v5GBPGb69gFPOS4k/Q1e88MHUSyl1yelbQbb2kyjYySa,1997-03-22,+52 6804 7939,https://cdn.nba.com/headshots/nba/latest/1040x760/1630579.png,1,1
gracielacordova@example.net,Timoteo,Narváez,Quiñónez,$2b$12$AuAlqMegIOWk.RLIFnSqj.mucA1eT0a9vmTa13y6theO3tLY64R.y,1945-07-17,+52 1887 2612,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png,1,1
ytorres@example.com,Gilberto,Rascón,Romo,$2b$12$Y.jHuOTpa7N8tKs4h44BD.galjXuUMORWtSpTqr12hOkOmHsjBY82,2006-04-26,+52 2790 5073,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png,1,1
rodolfo57@example.org,Norma,Haro,Valle,$2b$12$rftDib1Vnd1McwMeagjrZ.LVFegpvpjQ6owxdUpRYxHK2uyjCZMJm,1960-05-28,+52 3296 7912,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png,1,1
avilaenrique@example.net,Aurora,Vélez,Quintanilla,$2b$12$JivjQr/E2fe1F55T02zNauZoD38rreswzNh.nAHXA81X02osMgoXK,1967-03-14,+52 2235 8260,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
genaro38@example.org,Jaqueline,Véliz,Rivero,$2b$12$F.mANFEAzKQIkzx8CKbcvu9ZQQ8Ou8YqbMWOuRgvsgIMfUgxRjK5u,2000-06-29,+52 9856 1241,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png,1,1
camilonava@example.com,Abraham,Pichardo,Alejandro,$2b$12$QoGNb6XkrZHWdqklrjLvYOvJvuEOja3fKrXAxDAZDl9FmDPwZggAK,2001-05-10,+52 8956 8886,https://cdn.nba.com/headshots/nba/latest/1040x760/1629028.png,1,1
maria-josepuga@example.com,Evelio,Medina,Lozada,$2b$12$c.8BAtqlyUo1TonhGOva3.fnpFAj0jLcueiOs6ln2TlZORNKN.jfq,1961-08-24,+52 7209 1035,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png,1,1
pcarvajal@example.net,María José,Zapata,Benítez,$2b$12$/jrVF.lj3fmKK6pgs16Gm.AQpIvZP3KDNuq52MxkWKL/wlOB/Wwwi,1985-11-16,+52 5673 7930,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
leonardochavarria@example.org,Rocío,Díaz,Martínez,$2b$12$dd.tDyauHpNcHY3WSLDeFOCXQh..2Cs.hwBTJc9J4xAaJhVtOeBGe,1994-04-20,+52 5861 4566,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png,1,1
jose-emilio94@example.org,Carlota,Brito,Perea,$2b$12$2P4RQ5ULjmeoZ4WkGilDReHPWhinaJxrYkLqLlORk1JdZAAW9HGfm,1947-12-05,+52 1936 1821,https://cdn.nba.com/headshots/nba/latest/1040x760/1629027.png,1,1
gsolorio@example.net,Amelia,Jimínez,Baeza,$2b$12$eh.anppkro2iBPooIyU9DeaNqvbVraCmHq.cZ6aFfvV/bC/FqhHSC,1948-02-22,+52 3579 1931,https://cdn.nba.com/headshots/nba/latest/1040x760/1630624.png,1,1
madridserafin@example.net,Antonia,Pineda,Serrano,$2b$12$t7rJGeMMggWa6JEg9ufF9euIhqwcHMN1vUwNUz0LpBOtLlojBMnVK,1958-05-11,+52 2122 2113,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png,1,1
vmelgar@example.org,Inés,Benavídez,Moreno,$2b$12$pHieimkRUftfdSdr0T90gO2LyQCiopHVuITZviITrvnDmpWF94Zfq,2006-06-05,+52 5033 1651,https://cdn.nba.com/headshots/nba/latest/1040x760/202699.png,1,1
ramosdaniela@example.org,Juan Carlos,Lovato,Villareal,$2b$12$23Py0GFEhtFqMLh3zM1yD.6Qc9pQzx8c10.w8ugO0FbfXPlZDsqBG,2003-03-10,+52 9565 6183,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png,1,1
rosarioulloa@example.org,Antonia,Arias,Vela,$2b$12$LK9StkPn2qaj77ybjjVsj.4qPoIpjYO.4GmGqY4cRtXu8BLT/nZy2,1969-11-19,+52 6147 4910,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png,1,1
luis-manuelpatino@example.net,Anel,Fonseca,Ruelas,$2b$12$KHE/H2n2y2L2As4tFb7GsOqfGYAz0FRo9mpu/kUACfXJqO.Xdeh/u,1953-10-22,+52 5915 8491,https://cdn.nba.com/headshots/nba/latest/1040x760/203999.png,1,1
juan-carlos74@example.com,Manuel,Parra,Urrutia,$2b$12$HPBKd1Wu7AZ2ht4puZf0C.KACsQ1Jl0IOAqD9P.dY0S6qu2INrtSy,1994-08-03,+52 2638 2200,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
lilia68@example.org,Rafaél,Salcido,Lugo,$2b$12$GJzvRLQRB/Ma72yq0i/Z3eMpjwCws6wOepbaKhztjhFW6wf7XDHOq,1993-11-08,+52 3170 6718,https://cdn.nba.com/headshots/nba/latest/1040x760/1629627.png,1,1
xmeraz@example.net,Eloy,Puente,Marroquín,$2b$12$TL4dSCjDKeyWuHP9r1mMOed4DcoiJrtHEVThXiJqYe0irmis8NyMu,1994-12-26,+52 3584 8179,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
yzamora@example.org,Tania,Valadez,Amaya,$2b$12$PVv/z75S8PJeOY7InJojz.rURr7A79Fu6la85SRMUJpFzt/jPhfpy,1956-02-28,+52 9666 1128,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png,1,1
pinedaaldo@example.com,Reynaldo,Rascón,Quezada,$2b$12$BosHRNTT2mxQdmgty/WBZuDHVST1Kkzpg1o.M/aCx5YtdFdyHZkty,1944-12-14,+52 3200 5333,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,1,1
gbriseno@example.net,Fernando,Polanco,Ordóñez,$2b$12$PV.gk50QTqhzjgE7gNWVj.YWrGRopx2mHo.sjy3zsnsNObWAQ1Anu,1968-06-27,+52 3546 5462,https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png,1,1
ttoro@example.com,Aida,Pedraza,Echeverría,$2b$12$GgJTxJSfw6MKz0.OysyOIuTXoPzAR42A4gdRCbQUSi164ZkdfKAgy,2004-03-08,+52 4335 5325,https://cdn.nba.com/headshots/nba/latest/1040x760/1630624.png,1,1
carrillodaniel@example.net,Soledad,Quesada,Casares,$2b$12$4rU1F9dJhnDBlpZx1jFHGOurAZaI4/74EVqvcPtMfCnUMSBXTuPcq,1978-12-28,+52 2512 7939,https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png,1,1
frida66@example.net,Mayte,Valles,Valladares,$2b$12$WGL.r1.QCc68UrBGIB1CIe.ROSBoZIzeevrF505UaBEhLHKt5NxFu,1948-11-23,+52 3143 5291,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png,1,1
leonor86@example.com,Karina,Irizarry,Jáquez,$2b$12$CIXhTB/Sju0.xn4YgYHJ9OeI1hymXloSg0m4N2EnPEIl2daAT7ksq,1947-04-14,+52 8007 1158,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png,1,1
villegasvictor@example.org,Alvaro,Aguilera,Colunga,$2b$12$KbFKeg38NNaeLMV3qE36JeSNH2O9UlcezhRMm6U4ySG/QdDduNrN2,1974-01-09,+52 9938 1590,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png,1,1
armando38@example.net,Mateo,Aguilera,Bueno,$2b$12$1Cmp36gRCa7oJZUZYGiCMepu.r8j2xNmbWxVDsKdOaRLxUH1ztQke,1995-08-01,+52 1685 6050,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png,1,1
omar70@example.com,Salma,Medrano,Sánchez,$2b$12$rcY9FrYjHDGpNN.vjZNnOeyZaozWNjgPIiRShDhRpegSPopusZjE.,1979-12-28,+52 5088 2684,https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png,1,1
aangulo@example.com,Esmeralda,Matos,Dávila,$2b$12$n5YUitKluw187o1vt9rkmO8AsS.Ue8swxYZuNZ25GdggGgGWHXoPK,1958-03-10,+52 3532 4878,https://cdn.nba.com/headshots/nba/latest/1040x760/1630162.png,1,1
